# titre | catégorie | ingrédients (grammes pour 2 portions, eau en ml) | préparation,cuisson,repos | équipement | étapes spécifiques séparées par ~
Riz complet aux dés de fenouil et crème de brocoli|plat|riz:140,fenouil:240,brocoli:250,huile:12,eau:400|15,45,0|hob,blender|Rincer le riz puis le cuire à couvert avec 350 ml d'eau pendant 35 à 45 min, selon le grain, jusqu'à absorption ; ajouter un peu d'eau si nécessaire.~Émincer le fenouil et le cuire 12 min à la vapeur au-dessus d'une casserole. Cuire le brocoli de la même manière 8 min.~Mixer le brocoli avec les 50 ml d'eau restants et l'huile. Servir le riz avec le fenouil et la crème verte.
Feuilles de chou farcies au sarrasin et aux champignons|plat|sarrasin:140,chou:300,champignon:200,huile:12,eau:320|25,40,0|hob,oven|Blanchir les feuilles de chou 4 min dans de l'eau bouillante qui sera jetée, puis retirer les grosses nervures.~Cuire le sarrasin 15 min avec 280 ml d'eau. Faire tomber les champignons hachés dans leur jus, puis incorporer l'huile et le sarrasin.~Répartir la farce dans les feuilles, replier les côtés et rouler. Ranger serré dans un plat avec 40 ml d'eau, couvrir et cuire 20 min à 180 °C.
Poivrons farcis au quinoa, petits pois et basilic|plat|quinoa:140,poivron:400,petits_pois:150,basilic:8,huile:12,eau:300|20,45,0|hob,oven|Rincer le quinoa et le cuire à couvert avec 300 ml d'eau 15 min. Ajouter les petits pois pendant les 5 dernières minutes.~Couper les poivrons en deux, retirer graines et membranes. Mélanger quinoa, petits pois, basilic ciselé et huile.~Garnir les demi-poivrons, couvrir le plat et cuire 30 min à 180 °C, jusqu'à ce que les poivrons soient tendres.
Galettes fines de sarrasin, épinards et crème de chou-fleur|plat|farine_sarrasin:140,epinard:240,chou_fleur:250,ciboulette:6,huile:12,eau:380|25,25,30|hob,blender|Fouetter la farine avec 300 ml d'eau et laisser reposer 30 min. La pâte doit napper légèrement la louche.~Cuire le chou-fleur à la vapeur 15 min, puis le mixer avec 80 ml d'eau et la ciboulette. Faire tomber les épinards 4 min dans une casserole couverte.~Huiler légèrement une poêle antiadhésive avec une partie de l'huile mesurée. Cuire quatre galettes fines 2 min de chaque côté, garnir de crème et d'épinards, puis replier. Répartir le reste d'huile sur la garniture.
Polenta souple aux blettes et aux noix|plat|polenta:140,blette:350,noix:25,huile:10,eau:650|15,25,0|hob|Couper les côtes de blette en petits tronçons et les cuire à couvert avec 100 ml d'eau pendant 20 min.~Porter 550 ml d'eau à frémissement, verser la polenta en pluie et remuer pendant le temps indiqué sur son emballage, environ 5 à 10 min.~Incorporer l'huile à la polenta. Répartir les blettes et leur jus dessus puis parsemer de noix concassées.
Riz complet au four, courge et céleri branche|plat|riz:140,courge:300,celeri:120,huile:12,eau:450|15,60,0|oven|Chauffer le four à 180 °C. Couper la courge en dés de 1 cm et le céleri en fines rondelles.~Mettre le riz rincé, les légumes, l'huile et l'eau bouillante dans une cocotte allant au four. Couvrir hermétiquement.~Cuire 55 à 60 min ; vérifier que le riz est tendre et ajouter un peu d'eau chaude si le fond sèche avant la fin. Égrener avant de servir.
Quinoa tiède, asperges et radis croquants|salade|quinoa:140,asperge:300,radis:120,persil:8,huile:14,eau:300|15,20,0|hob|Rincer le quinoa et le cuire avec 300 ml d'eau à couvert 15 min, puis l'égrener.~Couper les bases fibreuses des asperges et cuire les tiges à la vapeur 6 à 10 min selon leur diamètre.~Mélanger quinoa tiède, asperges en tronçons, radis émincés, persil et huile. Servir dès l'assemblage.
Sarrasin façon pilaf aux endives et noisettes|plat|sarrasin:140,endive:350,noisette:25,huile:12,eau:300|15,25,0|hob|Couper les endives en quatre dans la longueur et retirer le cône dur.~Les faire fondre 10 min dans une sauteuse avec 50 ml d'eau et l'huile. Ajouter le sarrasin rincé et les 250 ml d'eau restants.~Couvrir et cuire environ 15 min, jusqu'à tendreté du grain. Terminer avec les noisettes grossièrement hachées.
Parmentier végétal de lentilles sous une purée de pommes de terre|plat|pomme_terre:450,lentille:120,carotte:160,champignon:180,huile:12,eau:550|25,65,0|hob,oven|Cuire les lentilles et la carotte en petits dés dans 400 ml d'eau pendant 30 à 35 min. Ajouter les champignons hachés après 20 min.~Cuire les pommes de terre à la vapeur 25 min, les écraser avec l'huile et jusqu'à 150 ml d'eau chaude pour obtenir une purée souple.~Verser les lentilles dans un plat, couvrir de purée et enfourner 15 min à 190 °C.
Croquettes de quinoa et courge au four|plat|quinoa:140,courge:300,farine_sarrasin:30,persil:10,huile:12,eau:300|25,50,20|hob,oven|Cuire le quinoa rincé dans 300 ml d'eau 15 min. Cuire la courge à la vapeur 15 min et l'écraser ; laisser tiédir les deux préparations 20 min.~Mélanger avec la farine et le persil, puis former huit petites galettes épaisses sur une plaque chemisée. Si la pâte reste souple, utiliser des cercles ou la déposer à la cuillère.~Badigeonner avec l'huile mesurée et cuire 25 min à 190 °C, en retournant délicatement après 15 min.
Riz complet crémeux au chou-fleur et aux pignons|plat|riz:140,chou_fleur:350,pignon:20,ciboulette:6,huile:10,eau:480|15,45,0|hob,blender|Cuire le riz rincé dans 350 ml d'eau à couvert pendant 35 à 45 min.~Cuire le chou-fleur à la vapeur 15 min. Mixer la moitié avec 130 ml d'eau et l'huile, puis détailler le reste en petits bouquets.~Mélanger riz, crème et bouquets. Réchauffer 2 min et ajouter ciboulette et pignons.
Lasagnes de courgette à la polenta et aux champignons|plat|polenta:130,courgette:400,champignon:250,basilic:8,huile:14,eau:550|25,45,0|hob,oven|Cuire les champignons émincés 10 min à la poêle dans leur jus. Couper les courgettes en rubans fins.~Cuire la polenta dans les 550 ml d'eau selon l'emballage. Incorporer l'huile et le basilic ; conserver une consistance souple.~Alterner polenta, rubans de courgette et champignons dans un plat, terminer par la polenta. Couvrir et cuire 30 min à 180 °C.
Quinoa aux artichauts et carottes fondantes|plat|quinoa:140,artichaut:240,carotte:200,basilic:8,huile:12,eau:350|20,30,0|hob|Utiliser les fonds parés immédiatement pour limiter leur brunissement. Les couper en quartiers et détailler les carottes en petits dés.~Faire cuire les légumes 10 min à couvert avec 50 ml d'eau. Ajouter le quinoa rincé et les 300 ml d'eau restants.~Poursuivre 15 à 20 min à feu doux. Ajouter huile et basilic au service.
Sarrasin aux betteraves rôties et sauce de céleri-rave|plat|sarrasin:140,betterave:250,celeri_rave:250,huile:14,eau:380|20,55,0|hob,oven,blender|Couper la betterave en dés, l'enrober de la moitié de l'huile et cuire 40 min à 190 °C dans un plat couvert.~Cuire le sarrasin avec 280 ml d'eau pendant 15 min. Cuire le céleri-rave en cubes à la vapeur 20 min.~Mixer le céleri-rave avec les 100 ml d'eau restants et l'huile restante. Servir en trois éléments, sans mélanger la betterave à toute la sauce.
Roulés de laitue au riz et aux légumes croquants|plat|riz:140,laitue:180,concombre:200,carotte:150,avocat:100,eau:350|25,45,30|hob|Cuire le riz rincé dans 350 ml d'eau 35 à 45 min. L'étaler dans un plat peu profond et le refroidir rapidement, puis réfrigérer.~Tailler le concombre et la carotte en fins bâtonnets ; écraser l'avocat à la fourchette.~Disposer riz refroidi, avocat et crudités dans de grandes feuilles de laitue. Replier comme des barquettes et consommer immédiatement.
Gratin de pommes de terre au brocoli sans crème|plat|pomme_terre:450,brocoli:350,amande:30,huile:12,eau:180|20,45,0|hob,oven,blender|Cuire les pommes de terre en fines rondelles à la vapeur 15 min, puis le brocoli 8 min.~Mixer les amandes avec l'eau pendant 1 min pour obtenir une sauce, sans la filtrer ; incorporer l'huile.~Disposer les légumes dans un plat, verser toute la sauce et cuire 25 min à 180 °C. Laisser reposer quelques minutes avant de servir.
